1	1
0.992188	0.960296
0.984375	0.877447
0.976562	0.79573
0.96875	0.718085
0.960938	0.646878
0.953125	0.583547
0.945312	0.528704
0.9375	0.482286
0.929688	0.44374
0.921875	0.4122
0.914062	0.386639
0.90625	0.365999
0.898438	0.349269
0.890625	0.33554
0.882812	0.324039
0.875	0.314125
0.867188	0.305292
0.859375	0.297151
0.851562	0.289412
0.84375	0.281865
0.835938	0.274364
0.828125	0.266809
0.820312	0.259139
0.8125	0.251315
0.804688	0.243319
0.796875	0.235142
0.789062	0.226788
0.78125	0.218262
0.773438	0.209576
0.765625	0.200742
0.757812	0.191776
0.75	0.182691
0.742188	0.173502
0.734375	0.164225
0.726562	0.154874
0.71875	0.145462
0.710938	0.136004
0.703125	0.12651
0.695312	0.116994
0.6875	0.107465
0.679688	0.0979323
0.671875	0.0884056
0.664062	0.0788922
0.65625	0.0693983
0.648438	0.0599295
0.640625	0.05049
0.632812	0.0410832
0.625	0.031711
0.617188	0.0223747
0.609375	0.0130741
0.601562	0.0038081
0.59375	-0.00542532
0.585938	-0.0146293
0.578125	-0.023808
0.570312	-0.0329663
0.5625	-0.04211
0.554688	-0.0512458
0.546875	-0.0603807
0.539062	-0.0695225
0.53125	-0.0786791
0.523438	-0.0878585
0.515625	-0.0970688
0.507812	-0.106318
0.5	-0.115611
0.492188	-0.124956
0.484375	-0.134356
0.476562	-0.143813
0.46875	-0.153326
0.460938	-0.162894
0.453125	-0.172509
0.445312	-0.18216
0.4375	-0.191832
0.429688	-0.201506
0.421875	-0.211155
0.414062	-0.220749
0.40625	-0.230251
0.398438	-0.239617
0.390625	-0.248799
0.382812	-0.257743
0.375	-0.266389
0.367188	-0.274673
0.359375	-0.282528
0.351562	-0.289883
0.34375	-0.296669
0.335938	-0.302815
0.328125	-0.308251
0.320312	-0.312914
0.3125	-0.316744
0.304688	-0.319687
0.296875	-0.321701
0.289062	-0.322751
0.28125	-0.322814
0.273438	-0.321878
0.265625	-0.319943
0.257812	-0.317023
0.25	-0.313143
0.242188	-0.30834
0.234375	-0.30266
0.226562	-0.296161
0.21875	-0.288908
0.210938	-0.280973
0.203125	-0.272432
0.195312	-0.263364
0.1875	-0.25385
0.179688	-0.24397
0.171875	-0.233803
0.164062	-0.223422
0.15625	-0.212896
0.148438	-0.202288
0.140625	-0.191651
0.132812	-0.181033
0.125	-0.170469
0.117188	-0.159989
0.109375	-0.149609
0.101562	-0.139338
0.09375	-0.129175
0.0859375	-0.119112
0.078125	-0.10913
0.0703125	-0.0992061
0.0625	-0.0893091
0.0546875	-0.0794028
0.046875	-0.0694466
0.0390625	-0.0593957
0.03125	-0.0492017
0.0234375	-0.0388131
0.015625	-0.0281748
0.0078125	-0.0172283
0	0
