0		0
0.0078125		0.00270116
0.015625		0.00540391
0.0234375		0.00810988
0.03125		0.0108207
0.0390625		0.0135379
0.046875		0.0162631
0.0546875		0.018998
0.0625		0.0217441
0.0703125		0.0245032
0.078125		0.0272767
0.0859375		0.0300665
0.09375		0.032874
0.101562		0.035701
0.109375		0.0385492
0.117188		0.0414202
0.125		0.0443157
0.132812		0.0472374
0.140625		0.0501871
0.148438		0.0531664
0.15625		0.0561771
0.164062		0.059221
0.171875		0.0622998
0.179688		0.0654154
0.1875		0.0685695
0.195312		0.071764
0.203125		0.0750007
0.210938		0.0782816
0.21875		0.0816084
0.226562		0.0849831
0.234375		0.0884076
0.242188		0.091884
0.25		0.0954141
0.257812		0.099
0.265625		0.102644
0.273438		0.106347
0.28125		0.110113
0.289062		0.113942
0.296875		0.117838
0.304688		0.121802
0.3125		0.125837
0.320312		0.129944
0.328125		0.134127
0.335938		0.138386
0.34375		0.142726
0.351562		0.147147
0.359375		0.151652
0.367188		0.156244
0.375		0.160925
0.382812		0.165698
0.390625		0.170564
0.398438		0.175527
0.40625		0.180589
0.414062		0.185752
0.421875		0.19102
0.429688		0.196394
0.4375		0.201877
0.445312		0.207473
0.453125		0.213183
0.460938		0.21901
0.46875		0.224957
0.476562		0.231027
0.484375		0.237222
0.492188		0.243546
0.5		0.25
0.507812		0.256588
0.515625		0.263312
0.523438		0.270175
0.53125		0.27718
0.539062		0.284329
0.546875		0.291626
0.554688		0.299072
0.5625		0.306671
0.570312		0.314425
0.578125		0.322337
0.585938		0.330408
0.59375		0.338643
0.601562		0.347043
0.609375		0.35561
0.617188		0.364347
0.625		0.373256
0.632812		0.382339
0.640625		0.391599
0.648438		0.401036
0.65625		0.410653
0.664062		0.420452
0.671875		0.430433
0.679688		0.440599
0.6875		0.450951
0.695312		0.461489
0.703125		0.472215
0.710938		0.483129
0.71875		0.494232
0.726562		0.505523
0.734375		0.517003
0.742188		0.528672
0.75		0.540529
0.757812		0.552574
0.765625		0.564804
0.773438		0.57722
0.78125		0.589819
0.789062		0.602599
0.796875		0.615559
0.804688		0.628695
0.8125		0.642004
0.820312		0.655485
0.828125		0.669131
0.835938		0.682941
0.84375		0.696909
0.851562		0.711031
0.859375		0.725302
0.867188		0.739717
0.875		0.754269
0.882812		0.768953
0.890625		0.783762
0.898438		0.79869
0.90625		0.81373
0.914062		0.828874
0.921875		0.844114
0.929688		0.859444
0.9375		0.874854
0.945312		0.890337
0.953125		0.905883
0.960938		0.921484
0.96875		0.937131
0.976562		0.952814
0.984375		0.968499
0.992188		0.983919
1		1
